0,0,0,
270,-147,952,
198,-810,552,
-189,860,475,
-705,639,308,
851,9,524,
-940,-313,135,
284,-520,806,
-220,377,900,
391,593,704,
389,921,31,
0,0,0,
888,386,249,
704,390,593,
-23,995,101,
206,301,931,
-797,319,514,
230,876,424,
-921,386,58,
575,-646,502,
-759,-490,429,
629,-290,721,
0,0,0,
-99,8,995,
3,661,751,
702,-702,121,
-464,610,642,
-957,42,288,
-435,883,176,
-476,-799,367,
-777,-130,616,
-100,-954,284,
-489,-505,711,
0,0,0,
-445,-157,882,
-730,-682,44,
-561,209,801,
550,112,827,
337,-919,204,
-168,-733,659,
989,-21,144,
-94,-411,907,
606,719,341,
856,-373,358,
0,0,0,
