0,0,0,
-592,-560,580,
990,109,93,
-289,-942,170,
236,-890,389,
-267,571,776,
-602,433,671,
-972,142,185,
-887,-460,35,
-180,-217,960,
-110,972,209,
0,0,0,
323,462,826,
-818,-393,420,
-171,838,518,
144,-180,973,
-882,456,120,
-680,-232,695,
-709,613,349,
-113,100,989,
736,646,202,
-410,-410,815,
0,0,0,
-54,-501,864,
546,-790,281,
-272,-691,670,
837,-291,463,
150,880,451,
883,367,294,
380,689,617,
962,-232,147,
-557,-831,11,
-455,-52,889,
0,0,0,
81,-733,676,
394,-683,615,
817,-544,192,
666,-565,487,
228,156,961,
-436,862,258,
-666,745,37,
279,-454,846,
-680,123,723,
-958,-191,215,
0,0,0,
-460,-794,397,
481,815,323,
-719,-656,229,
574,-365,733,
-12,403,915,
645,546,535,
720,-60,691,
450,-93,888,
228,963,143,
357,-933,52,
0,0,0,
-870,-28,493,
52,682,729,
916,22,401,
37,-992,124,
-463,699,545,
-378,277,883,
540,241,806,
766,262,588,
-103,-890,445,
-836,311,451,
0,0,0,
